Cl1984,CostzPr_6_84_1,CostzPr_6_84_2,MSAVI_22_06_84,NDVI_22_06_84,SAVI_22_06_84,CostzPr_6_84_3,CostzPr_6_84_4,CostzPr_6_84_5,CostzPr_6_84_6,entropy_22_6_84_b4,entropy_22_6_84_b5,entropy_22_6_84_b7,homogeneity_22_6_84_b4,homogeneity_22_6_84_b5,homogeneity_22_6_84_b7,mean_22_6_84_b4,mean_22_6_84_b5,mean_22_6_84_b7,variance_22_6_84_b4,variance_22_6_84_b5,variance_22_6_84_b7
Set,74,41,-0.848546743,0.035714287,0.053333335,54,58,110,67,1.211044073,1.427061081,0.17441605,0.76111114,0.816666663,0.972222209,0.474826396,0.464409709,0.282118052,217.6585541,205.2675629,76.00146484
Set,77,44,-0.886073351,0.025641026,0.038297873,57,60,120,70,1.24395895,1.104958296,0.67577517,0.75,0.872222245,0.916666687,0.4765625,0.457465291,0.278645843,220.9458618,199.003067,74.23505402
Br,62,30,-0.5461725,0.125,0.1863354,35,45,99,50,1.214889646,1.783073425,1.387799978,0.811111093,0.733333349,0.833333313,0.355902791,0.390625,0.204861104,123.4249039,148.8991241,40.57823563
Br,54,23,-0.475686222,0.147540987,0.219512194,26,35,62,27,1.149059653,0.348832101,0.17441605,0.76111114,0.944444418,0.972222209,0.254340291,0.248263896,0.125868052,63.65998459,60.08941269,15.00889874
Br,52,23,-0.712978065,0.071428575,0.10619469,26,30,65,37,1.783073425,0.516285479,0.598758817,0.688888907,0.944444418,0.916666687,0.251736104,0.277777791,0.151909724,60.48008728,74.25,22.53774452
Br,52,25,-0.621107817,0.100000001,0.148760334,27,33,65,33,1.966175556,1.445938706,0.762366593,0.544444442,0.666666687,0.888888896,0.258680552,0.28125,0.149305552,64.25753021,76.46107483,21.59560585
Br,53,23,-0.258869946,0.225806445,0.335999995,24,38,44,21,2.04319191,1.599971414,0.516285479,0.5,0.75,0.944444418,0.319444448,0.1953125,0.097222224,101.1668625,36.71870804,9.182294846
Br,58,28,-0.385498822,0.179487184,0.267515928,32,46,74,37,1.552024364,1.676987767,1.629040718,0.788888872,0.566666663,0.694444418,0.361111104,0.335069448,0.177951396,125.7847519,109.8896637,31.75312424
Br,51,24,-0.621107817,0.100000001,0.148760334,27,33,65,33,1.445938706,1.445938706,0.969803274,0.688888907,0.722222209,0.805555582,0.262152791,0.295138896,0.151909724,67.19682312,84.17895508,22.53774452
Br,54,26,-0.490852624,0.142857149,0.212765962,30,40,90,45,1.493885756,1.339853048,1.060856938,0.722222209,0.733333349,0.777777791,0.289930552,0.340277791,0.177083328,82.22762299,113.8519287,31.5406208
Br,52,22,-0.489863485,0.142857149,0.212598428,27,36,64,31,0.998872638,1.368922353,0.683738887,0.916666687,0.777777791,0.888888896,0.2734375,0.267361104,0.128472224,70.66851807,68.94107819,15.96017838
Br,53,24,-0.53123647,0.129032254,0.192000002,27,35,69,34,1.706057072,1.706057072,0.839382946,0.694444418,0.633333325,0.861111104,0.263020843,0.28125,0.150173604,65.57442474,74.85692596,21.58756638
Br,62,32,-0.565060079,0.119047619,0.177514791,37,47,91,44,1.262836695,1.475008011,0.843228579,0.861111104,0.75,0.861111104,0.360243052,0.3671875,0.190104172,125.5819397,130.5966492,35.15708923
Br,58,28,-0.4916659,0.142857149,0.212903231,33,44,91,47,1.658110142,1.629040718,1.214889646,0.74444443,0.74444443,0.805555582,0.368055552,0.361111104,0.186631948,130.7990875,125.7847519,34.01747894
Br,62,30,-0.5461725,0.125,0.1863354,35,45,99,50,1.214889646,1.783073425,1.387799978,0.811111093,0.733333349,0.833333313,0.355902791,0.390625,0.204861104,123.4249039,148.8991241,40.57823563
Br,75,45,-0.649490535,0.09375,0.140077814,58,70,114,68,2.120208263,1.966175556,1.889159203,0.358823538,0.406535953,0.48888889,0.508680582,0.456597209,0.270833343,250.8663788,201.47258,72.04587555
Br,65,35,-0.866496921,0.030303031,0.045226131,48,51,94,57,1.552024364,1.427061081,1.706057072,0.708823502,0.666666687,0.722222209,0.386284709,0.371527791,0.223958328,148.5602875,135.4435883,49.37076187
Br,57,29,-0.713382959,0.073170729,0.109090909,38,44,87,50,1.966175556,1.966175556,1.706057072,0.627777755,0.5,0.733333349,0.3203125,0.319444448,0.185763896,100.4430466,102.9448853,34.91652679
Br,51,25,-1.108875394,-0.037037037,-0.055045873,28,26,44,27,1.599971414,1.889159203,0.973648906,0.544444442,0.5,0.861111104,0.1875,0.164930552,0.105034724,33.0492897,25.23024178,10.64415264
Br,53,23,-0.359885335,0.188405797,0.280575544,28,41,67,31,1.629040718,1.570902109,0.17441605,0.694444418,0.722222209,0.972222209,0.308159709,0.270833343,0.125868052,92.33361816,70.93448639,15.00889874
Br,52,23,-0.361935109,0.1875,0.279069781,26,38,57,26,1.629040718,1.658110142,0.949314296,0.655555546,0.733333349,0.805555582,0.303819448,0.253472209,0.124131948,88.3296051,60.45318604,14.27216721
Br,56,28,-1.169007421,-0.050847456,-0.075630255,31,28,50,31,1.889159203,1.966175556,1.629040718,0.405555546,0.538888872,0.699999988,0.198784724,0.188368052,0.118055552,40.52190781,37.46918488,14.76240635
Br,55,27,-1.098202586,-0.033333335,-0.049586777,31,29,43,28,1.629040718,1.41302371,1.229921699,0.661111116,0.76111114,0.777777791,0.200520828,0.181423604,0.119791664,40.8556633,32.89620972,14.52710819
Br,63,31,-0.462485939,0.152941182,0.22807017,36,49,72,44,1.52295506,1.889159203,1.629040718,0.75,0.688888907,0.777777791,0.375868052,0.319444448,0.190972224,135.5649414,99.34906769,35.59126663
Br,73,41,-0.604698837,0.107438013,0.160493821,54,67,115,62,1.966175556,2.120208263,1.812142849,0.51111114,0.417647064,0.594444454,0.512152791,0.425347209,0.233506948,265.4100952,182.4768829,54.30379105
Br,61,33,-0.43860209,0.161290318,0.240641713,39,54,87,47,2.04319191,2.197224617,1.599971414,0.623202622,0.561111093,0.688888907,0.436631948,0.386284709,0.210069448,185.2842712,147.1764832,42.57654953
Br,62,33,-0.932533145,0.011764706,0.01754386,42,43,75,51,1.258991003,1.658110142,1.233767271,0.716666639,0.705555558,0.777777791,0.349826396,0.339409709,0.220486104,113.6484299,109.354599,46.18404388
Br,46,20,-0.221443847,0.239999995,0.356435657,19,31,43,19,1.166942596,1.211044073,0.424342781,0.722222209,0.716666639,0.899999976,0.243055552,0.186631948,0.097222224,56.94488144,31.43375206,8.426131248
Set,58,28,-0.300106823,0.210526317,0.313725501,30,46,63,36,1.599971414,1.552024364,1.310783625,0.666666687,0.722222209,0.666666687,0.362847209,0.284722209,0.170138896,128.2207794,78.22613525,28.06521225
Set,64,31,-0.616323531,0.102564104,0.152866244,35,43,69,40,0.26485309,0.89278692,1.089926243,0.944444418,0.805555582,0.916666687,0.345486104,0.287326396,0.171006948,113.5186691,77.95794678,28.05605698
Set,61,30,-0.481767356,0.146341458,0.218181819,35,47,74,40,1.475008011,1.504077435,1.152905345,0.688888907,0.705555558,0.861111104,0.357638896,0.2890625,0.162326396,125.8625183,82.02106476,25.77538681
Set,77,43,-0.755612016,0.061946902,0.092511013,53,60,114,67,2.04319191,1.966175556,1.416869402,0.393137246,0.361111104,0.466666669,0.516493082,0.467881948,0.284722209,257.280426,209.3980865,78.89309692
Set,75,45,-0.649490535,0.09375,0.140077814,58,70,114,68,2.120208263,1.966175556,1.889159203,0.358823538,0.406535953,0.48888889,0.508680582,0.456597209,0.270833343,250.8663788,201.47258,72.04587555
